1	1	0	1	1.67056
5	4	1	3	1.69772
13	7	3	2	1.60443
10	6	2	4	1.66925
17	9	4	3	1.50449
16	8	3	5	1.99812
20	11	5	0	0
1	1	0	1	1.14201
4	3	1	1	1.70124
3	3	1	1	1.37675
3	3	1	1	1.53868
3	3	1	1	1.48797
6	4	1	3	0
13	7	3	2	1.65837
9	5	2	2	1.65773
11	6	2	4	1.58834
18	10	4	5	1.56386
19	11	5	0	0.457802
1	1	0	1	1.51354
5	4	1	3	1.66331
13	7	3	2	1.6036
9	5	2	2	1.66566
11	6	2	4	1.60414
17	9	4	3	1.57583
16	8	3	5	2.29599
20	11	5	0	0
1	1	0	1	0.977691
4	3	1	1	1.70737
3	3	1	1	1.39112
3	3	1	1	1.53729
3	3	1	1	1.48757
6	4	1	3	0
15	8	3	5	1.65788
20	11	5	0	1.39601
2	2	0	2	1.67349
12	6	2	4	1.92392
17	9	4	3	1.34539
16	8	3	5	1.57344
20	11	5	0	0
2	2	0	2	1.65152
12	6	2	4	1.97423
17	9	4	3	1.5949
14	7	3	2	1.78978
10	6	2	4	1.66616
18	10	4	5	1.52938
19	11	5	0	0.488187
1	1	0	1	1.44831
5	4	1	3	1.66643
13	7	3	2	1.60003
10	6	2	4	1.66971
18	10	4	5	1.50322
19	11	5	0	0.518783
2	2	0	2	1.67113
12	6	2	4	1.94395
17	9	4	3	1.34422
14	7	3	2	1.76833
9	5	2	2	1.66589
11	6	2	4	1.61843
17	9	4	3	1.58434
14	7	3	2	0.949672
10	6	2	4	1.67251
18	10	4	5	1.52933
19	11	5	0	0.48319
1	1	0	1	1.45703
4	3	1	1	1.6661
6	4	1	3	0
13	7	3	2	1.67587
10	6	2	4	1.67383
17	9	4	3	1.53262
14	7	3	2	1.60874
9	5	2	2	1.67053
7	5	2	2	1.60736
11	6	2	4	1.59254
18	10	4	5	1.57299
19	11	5	0	0.423862
2	2	0	2	1.66226
12	6	2	4	1.91385
17	9	4	3	1.36146
14	7	3	2	1.51118
9	5	2	2	1.6658
11	6	2	4	1.61685
17	9	4	3	1.57949
14	7	3	2	0.951483
10	6	2	4	1.67243
18	10	4	5	1.52948
19	11	5	0	0.482933
1	1	0	1	1.45705
4	3	1	1	1.66609
6	4	1	3	0
13	7	3	2	1.67587
9	5	2	2	1.67383
7	5	2	2	1.59112
7	5	2	2	1.58886
11	6	2	4	1.64444
17	9	4	3	1.5669
14	7	3	2	0.964024
10	6	2	4	1.67173
18	10	4	5	1.53019
19	11	5	0	0.480828
2	2	0	2	1.66773
12	6	2	4	1.93369
17	9	4	3	1.36026
14	7	3	2	1.7641
9	5	2	2	1.66586
11	6	2	4	1.61784
18	10	4	5	1.58406
19	11	5	0	0.39626
2	2	0	2	1.66128
12	6	2	4	1.90989
17	9	4	3	1.36109
16	8	3	5	1.57407
20	11	5	0	0
1	1	0	1	1.34635
4	3	1	1	1.69932
6	4	1	3	0
13	7	3	2	1.66893
10	6	2	4	1.67292
18	10	4	5	1.52504
19	11	5	0	0.437422
1	1	0	1	1.46283
4	3	1	1	1.66526
6	4	1	3	0
13	7	3	2	1.67584
9	5	2	2	1.67384
7	5	2	2	1.59113
11	6	2	4	1.58883
17	9	4	3	1.57336
14	7	3	2	0.958191
10	6	2	4	1.67227
17	9	4	3	1.52994
16	8	3	5	2.03199
20	11	5	0	0
1	1	0	1	0.991348
5	4	1	3	1.69919
15	8	3	5	1.64646
20	11	5	0	1.37755
1	1	0	1	1.66737
4	3	1	1	1.69203
6	4	1	3	0
15	8	3	5	1.67559
20	11	5	0	1.42049
1	1	0	1	1.6709
5	4	1	3	1.69777
13	7	3	2	1.60428
9	5	2	2	1.66933
7	5	2	2	1.60175
11	6	2	4	1.56715
18	10	4	5	1.57471
19	11	5	0	0.422377
2	2	0	2	1.66218
12	6	2	4	1.91358
18	10	4	5	1.36143
19	11	5	0	0.952687
2	2	0	2	1.67671
8	5	2	2	0.331223
11	6	2	4	1.58437
